observed_utc,gw,source,team_abbr,opponent_abbr,status,formation,row,slot,player,short,kickoff_text
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,3,7,Matt Grimes,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,3,8,Jay Dasilva,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,4,9,Jack Rudoni,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,4,10,Ephron Mason-Clark,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,5,11,Sidiki Cherif,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,1,1,Djordje Petrovic,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,2,2,Adam Smith,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,2,3,James Hill,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,2,4,António Silva,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,2,5,Adrien Truffert,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,3,6,Lewis Cook,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,3,7,Alex Scott,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,4,8,Rayan Vitor,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,4,9,Justin Kluivert,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,4,10,Marcus Tavernier,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BOU,LIV,predicted,4-2-3-1,5,11,Evanilson,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,1,1,Alisson,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,2,2,Ronald Araujo,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,2,3,Jérémy Jacquet,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,2,4,Virgil Van Dijk,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,2,5,K. Tsimikas,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,3,6,Dominik Szoboszlai,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,3,7,Ryan Gravenberch,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,4,8,Víctor Muñoz,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,4,9,Florian Wirtz,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,4,10,Bradley Barcola,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LIV,BOU,predicted,4-2-3-1,5,11,Alexander Isak,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,1,1,James Trafford,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,2,2,James Justin,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,2,3,Nico Elvedi,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,2,4,Tarik Muharemovic,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,3,5,Jayden Bogle,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,3,6,Anton Stach,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,3,7,Ethan Ampadu,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,3,8,Ao Tanaka,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,3,9,Gabriel Gudmundsson,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,4,10,D. Calvert-Lewin,,Sunday 20 September 17:00
